Suburb,Postcode,Latitude,Longitude,Population,Density
"Abbotsford, Victoria",3067,-37.80027778,145,8184,4550
"Aberfeldie, Victoria",3040,-37.75111111,144.9,3897,2482
"Aintree, Victoria",3336,-37.71666667,144.6666667,,
"Airport West, Victoria",3042,-37.71722222,144.8677778,7564,2044
"Albanvale, Victoria",3021,-37.73444444,144.7513889,5491,2700
"Albert Park, Victoria",3206,-37.83416667,144.95,6215,1942
"Albion, Victoria",3020,-37.76805556,144.8013889,4731,1890
"Alphington, Victoria",3078,-37.76777778,145.0172222,5080,1810
"Altona Meadows, Victoria",3028,-37.8675,144.7680556,19160,1842
"Altona North, Victoria",3025,-37.83388889,144.8347222,12152,861.8
"Altona, Victoria",3018,-37.86666667,144.8177778,10762,636.8
"Ardeer, Victoria",3022,-37.78333333,144.8,3103,1480
"Armadale, Victoria",3143,-37.85055556,145.0169444,9054,4120
"Ascot Vale, Victoria",3032,-37.76777778,144.9166667,14750,3880
"Ashburton, Victoria",3147,-37.86694444,145.0830556,7751,2670
"Ashwood, Victoria",3147,-37.86666667,145.1002778,6886,2650
"Aspendale Gardens, Victoria",3195,-38.01722222,145.1166667,6530,1979
"Aspendale, Victoria",3195,-38.0175,145.1002778,6940,2390
"Attwood, Victoria",3049,-37.65138889,144.8836111,3419,1368
"Avondale Heights, Victoria",3034,-37.75111111,144.8511111,11633,2154
"Balaclava, Victoria",3183,-37.86722222,144.9841667,5396,6700
Balwyn North,3104,-37.78416667,145.0863889,20406,2293
"Balwyn, Victoria",3103,-37.80083333,145.0788889,13312,2377
"Bayswater North, Victoria",3153,-37.8175,145.2677778,8789,1204
"Bayswater, Victoria",3153,-37.83416667,145.2666667,11758,1470
"Beaconsfield, Victoria",3807,-38.03472222,145.3669444,6714,
"Beaumaris, Victoria",3193,-37.96805556,145.0341667,13349,2567
"Belgrave Heights, Victoria",3160,-37.91722222,145.3338889,1360,800
"Belgrave South, Victoria",3160,-37.93388889,145.3505556,1645,968
"Belgrave, Victoria",3160,-37.90111111,145.3505556,3929,958
"Bellfield, Victoria",3081,-37.75027778,145.0344444,1793,1990
"Bentleigh East, Victoria",3165,-37.91694444,145.0666667,27635,3004
"Bentleigh, Victoria",3204,-37.91694444,145.0336111,16153,3440
"Berwick, Victoria",3806,-38.01805556,145.3341667,47674,2020
"Bittern, Victoria",3918,-38.33388889,145.1675,3705,104.07
"Black Rock, Victoria",3193,-37.96694444,145.0169444,6159,1665
"Blackburn North, Victoria",3130,-37.80083333,145.15,7436,2860
"Blackburn South, Victoria",3130,-37.83361111,145.1341667,10793,3080
"Blackburn, Victoria",3130,-37.8175,145.15,12796,2206
"Blairgowrie, Victoria",3942,-38.35083333,144.7666667,2313,367.1
"Bonbeach, Victoria",3196,-38.05111111,145.1169444,6416,2290
"Bonnie Brook, Victoria",3335,-37.68444444,144.6669444,,
"Boronia, Victoria",3155,-37.85111111,145.2836111,22195,1947
"Box Hill North, Victoria",3129,-37.80055556,145.1169444,11874,3000
"Box Hill South, Victoria",3128,-37.83361111,145.1172222,8434,2410
"Box Hill, Victoria",3128,-37.81694444,145.1175,11395,3260
"Braeside, Victoria",3195,-38,145.1175,21,
"Braybrook, Victoria",3019,-37.78361111,144.8505556,9195,2138
"Briar Hill, Victoria",3088,-37.70055556,145.1013889,3152,2420
"Brighton East, Victoria",3187,-37.90138889,145.0013889,15998,2857
"Brighton, Victoria",3186,-37.90027778,144.9844444,23253,2836
"Broadmeadows, Victoria",3047,-37.68333333,144.9175,11970,1425
