,Suburb,Nearest Train Station,Distance(km),Latitude,Longitude,Cluster_Labels_Dist_0,Cluster_Labels_Dist_1,Cluster_Labels_Dist_2,Cluster_Labels_Dist_3,Cluster_Labels_Dist_4
0,"Abbotsford, Victoria",Victoria Park,0.5035139242450352,-37.80027778,145.0,0.0,0.0,0.0,0.5035139242450352,0.0
1,"Aberfeldie, Victoria",Essendon,1.5216405434936713,-37.75111111,144.9,0.0,0.0,0.0,1.5216405434936713,0.0
2,"Aintree, Victoria",Watergardens,9.595216648691995,-37.71666667,144.66666669999998,0.0,0.0,0.0,0.0,9.595216648691995
3,"Airport West, Victoria",Glenroy,4.566173889397911,-37.71722222,144.86777780000003,4.566173889397911,0.0,0.0,0.0,0.0
4,"Albanvale, Victoria",Keilor Plains,3.7786697614525577,-37.73444444,144.7513889,3.7786697614525577,0.0,0.0,0.0,0.0
5,"Albert Park, Victoria",Southern Cross,1.7742287420716385,-37.83416667,144.95,0.0,0.0,0.0,1.7742287420716385,0.0
6,"Albion, Victoria",Ginifer,1.345149040548302,-37.76805556,144.8013889,0.0,0.0,0.0,1.345149040548302,0.0
7,"Alphington, Victoria",Fairfield,1.2666234923090396,-37.76777778,145.0172222,0.0,0.0,0.0,1.2666234923090396,0.0
8,"Altona Meadows, Victoria",Laverton,0.5431504620532897,-37.8675,144.7680556,0.0,0.0,0.0,0.5431504620532897,0.0
9,"Altona North, Victoria",Altona,3.729620275480488,-37.83388889,144.8347222,3.729620275480488,0.0,0.0,0.0,0.0
10,"Altona, Victoria",Westona,0.4100355341612977,-37.86666667,144.81777780000002,0.0,0.0,0.0,0.4100355341612977,0.0
11,"Ardeer, Victoria",Albion,2.253203713295259,-37.78333333,144.8,2.253203713295259,0.0,0.0,0.0,0.0
12,"Armadale, Victoria",Toorak,0.27529686861159036,-37.85055556,145.0169444,0.0,0.0,0.0,0.27529686861159036,0.0
13,"Ascot Vale, Victoria",Moonee Ponds,0.3261365786459925,-37.76777778,144.91666669999998,0.0,0.0,0.0,0.3261365786459925,0.0
14,"Ashburton, Victoria",Alamein,0.33086221384859954,-37.86694444,145.0830556,0.0,0.0,0.0,0.33086221384859954,0.0
15,"Ashwood, Victoria",Holmesglen,1.1420502137896003,-37.86666667,145.10027780000001,0.0,0.0,0.0,1.1420502137896003,0.0
16,"Aspendale Gardens, Victoria",Aspendale,1.7028049653875028,-38.01722222,145.1166667,0.0,0.0,0.0,1.7028049653875028,0.0
17,"Aspendale, Victoria",Aspendale,1.0908764686091539,-38.0175,145.10027780000001,0.0,0.0,0.0,1.0908764686091539,0.0
18,"Attwood, Victoria",Coolaroo,3.8619739514281735,-37.65138889,144.8836111,3.8619739514281735,0.0,0.0,0.0,0.0
19,"Avondale Heights, Victoria",Ginifer,3.695864522078608,-37.75111111,144.8511111,3.695864522078608,0.0,0.0,0.0,0.0
20,"Balaclava, Victoria",Balaclava,0.8417337292175399,-37.86722222,144.9841667,0.0,0.0,0.0,0.8417337292175399,0.0
21,Balwyn North,Eaglemont,3.6391840317466917,-37.78416667,145.0863889,3.6391840317466917,0.0,0.0,0.0,0.0
22,"Balwyn, Victoria",Canterbury,2.634609090218544,-37.80083333,145.0788889,2.634609090218544,0.0,0.0,0.0,0.0
23,"Bayswater North, Victoria",Ringwood East,1.702127384936922,-37.8175,145.2677778,0.0,0.0,0.0,1.702127384936922,0.0
24,"Bayswater, Victoria",Bayswater,0.8428339770887845,-37.83416667,145.2666667,0.0,0.0,0.0,0.8428339770887845,0.0
25,"Beaconsfield, Victoria",Beaconsfield,1.7929621840958403,-38.03472222,145.36694440000002,0.0,0.0,0.0,1.7929621840958403,0.0
26,"Beaumaris, Victoria",Southland,1.6637794954823064,-37.96805556,145.0341667,0.0,0.0,0.0,1.6637794954823064,0.0
27,"Belgrave Heights, Victoria",Tecoma,1.2983179386817307,-37.91722222,145.3338889,0.0,0.0,0.0,1.2983179386817307,0.0
28,"Belgrave South, Victoria",Belgrave,2.7800210523120983,-37.93388889,145.35055559999998,2.7800210523120983,0.0,0.0,0.0,0.0
29,"Belgrave, Victoria",Belgrave,0.9869125017510236,-37.90111111,145.35055559999998,0.0,0.0,0.0,0.9869125017510236,0.0
30,"Bellfield, Victoria",Eaglemont,2.2831412183751847,-37.75027778,145.0344444,2.2831412183751847,0.0,0.0,0.0,0.0
31,"Bentleigh East, Victoria",McKinnon,2.5937625898321612,-37.91694444,145.06666669999998,2.5937625898321612,0.0,0.0,0.0,0.0
32,"Bentleigh, Victoria",Bentleigh,0.2988610550573359,-37.91694444,145.0336111,0.0,0.0,0.0,0.2988610550573359,0.0
33,"Berwick, Victoria",Berwick,2.589349001601494,-38.01805556,145.3341667,2.589349001601494,0.0,0.0,0.0,0.0
34,"Bittern, Victoria",Bittern,0.9924705149151194,-38.33388889,145.1675,0.0,0.0,0.0,0.9924705149151194,0.0
35,"Black Rock, Victoria",Sandringham,2.1530296733644456,-37.96694444,145.0169444,2.1530296733644456,0.0,0.0,0.0,0.0
36,"Blackburn North, Victoria",Blackburn,2.131239475364096,-37.80083333,145.15,2.131239475364096,0.0,0.0,0.0,0.0
37,"Blackburn South, Victoria",Laburnum,1.536744650811031,-37.83361111,145.13416669999998,0.0,0.0,0.0,1.536744650811031,0.0
38,"Blackburn, Victoria",Blackburn,0.27798770931025396,-37.8175,145.15,0.0,0.0,0.0,0.27798770931025396,0.0
39,"Blairgowrie, Victoria",Bittern,35.90922107762088,-38.35083333,144.7666667,0.0,35.90922107762088,0.0,0.0,0.0
40,"Bonbeach, Victoria",Chelsea,0.1343541242312135,-38.05111111,145.11694440000002,0.0,0.0,0.0,0.1343541242312135,0.0
41,"Bonnie Brook, Victoria",Diggers Rest,7.9179785044687625,-37.68444444,144.6669444,0.0,0.0,0.0,0.0,7.9179785044687625
42,"Boronia, Victoria",Boronia,1.052721393651083,-37.85111111,145.2836111,0.0,0.0,0.0,1.052721393651083,0.0
43,"Box Hill North, Victoria",Box Hill,2.10597436822744,-37.80055556,145.11694440000002,2.10597436822744,0.0,0.0,0.0,0.0
44,"Box Hill South, Victoria",Box Hill,1.647315421973109,-37.83361111,145.1172222,0.0,0.0,0.0,1.647315421973109,0.0
45,"Box Hill, Victoria",Box Hill,0.4216028523636103,-37.81694444,145.1175,0.0,0.0,0.0,0.4216028523636103,0.0
46,"Braeside, Victoria",Mordialloc,2.73109813653271,-38.0,145.1175,2.73109813653271,0.0,0.0,0.0,0.0
47,"Braybrook, Victoria",Sunshine,1.6618757016792627,-37.78361111,144.85055559999998,0.0,0.0,0.0,1.6618757016792627,0.0
48,"Briar Hill, Victoria",Greensborough,0.6938170851008693,-37.70055556,145.1013889,0.0,0.0,0.0,0.6938170851008693,0.0
49,"Brighton East, Victoria",North Brighton,0.38325596401159717,-37.90138889,145.0013889,0.0,0.0,0.0,0.38325596401159717,0.0
50,"Brighton, Victoria",North Brighton,1.6594811090866994,-37.90027778,144.9844444,0.0,0.0,0.0,1.6594811090866994,0.0
51,"Broadmeadows, Victoria",Broadmeadows,0.2050812596038193,-37.68333333,144.9175,0.0,0.0,0.0,0.2050812596038193,0.0
52,"Brookfield, Victoria",Diggers Rest,18.390140343879228,-37.6675,144.5175,0.0,0.0,18.390140343879228,0.0,0.0
53,"Brooklyn, Victoria",Sunshine,1.4568341212117915,-37.80111111,144.8338889,0.0,0.0,0.0,1.4568341212117915,0.0
54,"Brunswick East, Victoria",Brunswick,0.6599699700417434,-37.7675,144.96722219999998,0.0,0.0,0.0,0.6599699700417434,0.0
55,"Brunswick West, Victoria",Strathmore,1.0193530864495643,-37.75111111,144.9341667,0.0,0.0,0.0,1.0193530864495643,0.0
56,"Brunswick, Victoria",Brunswick,0.7669374902575448,-37.76666667,144.9511111,0.0,0.0,0.0,0.7669374902575448,0.0
57,"Bundoora, Victoria",Thomastown,3.3082013569898767,-37.68444444,145.0513889,3.3082013569898767,0.0,0.0,0.0,0.0
58,"Burnley, Victoria",West Richmond,0.8981230676373293,-37.8175,145.0011111,0.0,0.0,0.0,0.8981230676373293,0.0
59,"Burnside Heights, Victoria",Watergardens,2.747375075109106,-37.7175,144.7508333,2.747375075109106,0.0,0.0,0.0,0.0
60,"Burnside, Victoria",St Albans,4.395470897546998,-37.75027778,144.75027780000002,4.395470897546998,0.0,0.0,0.0,0.0
61,"Burwood East, Victoria",Syndal,2.9347199753298976,-37.85,145.15,2.9347199753298976,0.0,0.0,0.0,0.0
62,"Burwood, Victoria",Burwood,1.838549607679859,-37.85,145.1013889,0.0,0.0,0.0,1.838549607679859,0.0
63,"Cairnlea, Victoria",St Albans,1.5931624579701509,-37.75055556,144.7833333,0.0,0.0,0.0,1.5931624579701509,0.0
64,"Calder Park, Victoria",Watergardens,4.186625896942651,-37.66777778,144.7511111,4.186625896942651,0.0,0.0,0.0,0.0
65,"Camberwell, Victoria",Riversdale,0.3259791534700892,-37.83333333,145.0669444,0.0,0.0,0.0,0.3259791534700892,0.0
66,"Campbellfield, Victoria",Upfield,0.36391725204869496,-37.66722222,144.95055559999997,0.0,0.0,0.0,0.36391725204869496,0.0
67,"Canterbury, Victoria",East Camberwell,0.9279095824357507,-37.8175,145.06777780000002,0.0,0.0,0.0,0.9279095824357507,0.0
68,"Capel Sound, Victoria",Bittern,27.33706920005818,-38.3675,144.86694440000002,0.0,27.33706920005818,0.0,0.0,0.0
69,"Carlton North, Victoria",Jewell,1.1661313851128436,-37.78333333,144.9666667,0.0,0.0,0.0,1.1661313851128436,0.0
70,"Carlton, Victoria",Melbourne Central,1.1632575629335413,-37.8,144.9666667,0.0,0.0,0.0,1.1632575629335413,0.0
71,"Carnegie, Victoria",Carnegie,0.7270722053544082,-37.88361111,145.0511111,0.0,0.0,0.0,0.7270722053544082,0.0
72,"Caroline Springs, Victoria",Watergardens,5.1329325085934565,-37.73444444,144.7338889,0.0,0.0,0.0,0.0,5.1329325085934565
73,"Carrum Downs, Victoria",Seaford,4.093665865684851,-38.08444444,145.1677778,4.093665865684851,0.0,0.0,0.0,0.0
74,"Carrum, Victoria",Carrum,0.9533867980052451,-38.0675,145.11694440000002,0.0,0.0,0.0,0.9533867980052451,0.0
75,"Caulfield East, Victoria",Malvern,0.47948609912725254,-37.8675,145.0341667,0.0,0.0,0.0,0.47948609912725254,0.0
76,"Caulfield North, Victoria",Malvern,1.004022594290445,-37.86722222,145.0175,0.0,0.0,0.0,1.004022594290445,0.0
77,"Caulfield South, Victoria",Elsternwick,1.4656151523486207,-37.88388889,145.0175,0.0,0.0,0.0,1.4656151523486207,0.0
78,"Caulfield, Victoria",Elsternwick,1.4708190499503786,-37.88333333,145.0175,0.0,0.0,0.0,1.4708190499503786,0.0
