,Suburb,Nearest Train Station,Distance(km),Latitude,Longitude,Cluster_Labels_Dist_0,Cluster_Labels_Dist_1,Cluster_Labels_Dist_2,Cluster_Labels_Dist_3,Cluster_Labels_Dist_4
0,Abbotsbury,Cabramatta Railway Station,7.037973661954229,-33.8692846,150.8667029,0,0,1,0,0
1,Abbotsford,Croydon Railway Station,3.297268504305095,-33.8505529,151.129759,0,0,0,1,0
2,Acacia Gardens,Marayong Railway Station,2.659912937276624,-33.7324595,150.9125321,0,0,0,1,0
3,Agnes Banks,East Richmond Railway Station,4.176875392066592,-33.6145082,150.71144819999998,0,0,0,1,0
4,Airds,Campbelltown Railway Station,2.968845249479455,-34.09,150.8261111,0,0,0,1,0
5,Alexandria,Erskineville Railway Station,0.9614279404630737,-33.9091568,151.1921281,1,0,0,0,0
6,Alfords Point,Padstow Railway Station,3.944956339185484,-33.9839091,151.0241615,0,0,0,1,0
7,Allambie Heights,Roseville Railway Station,6.3334063869729205,-33.770506700000006,151.249675,0,0,1,0,0
8,Allawah,Allawah Railway Station,0.0,-33.969629299999994,151.11428469999998,1,0,0,0,0
9,Ambarvale,Macarthur Railway Station,1.4454617878061362,-34.084425200000005,150.8017477,1,0,0,0,0
10,Annandale,Stanmore Railway Station,1.4693525352191752,-33.881223999999996,151.1709976,1,0,0,0,0
11,Annangrove,Vineyard Railway Station,7.312089250264259,-33.6574838,150.9460077,0,0,1,0,0
12,Arcadia,Mount Colah Railway Station,7.411797737949384,-33.6227289,151.0605602,0,0,1,0,0
13,Arncliffe,Arncliffe Railway Station,0.0,-33.938235999999996,151.145508,1,0,0,0,0
14,Arndell Park,Blacktown Railway Station,3.103716864152858,-33.79,150.8761111,0,0,0,1,0
15,Artarmon,Artarmon Railway Station,0.0,-33.8094124,151.18576090000002,1,0,0,0,0
16,Ashbury,Canterbury Railway Station,1.4391083175810817,-33.9001107,151.11807240000002,1,0,0,0,0
17,Ashcroft,Liverpool Railway Station,2.3279104260479415,-33.915,150.9011111,0,0,0,1,0
18,Ashfield,Ashfield Railway Station,0.0,-33.889478100000005,151.1274125,1,0,0,0,0
19,Asquith,Asquith Railway Station,0.0,-33.6871935,151.1110257,1,0,0,0,0
20,Auburn,Auburn Railway Station,0.0,-33.854570200000005,151.0255673,1,0,0,0,0
21,Austral,Leppington Railway Station,2.904318811572281,-33.9282672,150.8082824,0,0,0,1,0
22,Avalon Beach,Berowra Railway Station,16.854224221577926,-33.6365039,151.32902990000002,0,1,0,0,0
23,Badgerys Creek,Leppington Railway Station,9.834202686326785,-33.9042169,150.72028219999999,0,0,1,0,0
24,Balgowlah,North Sydney Railway Station,6.6589183683789095,-33.7944424,151.2608261,0,0,1,0,0
25,Balgowlah Heights,North Sydney Railway Station,6.090182170776396,-33.807495,151.26499230000002,0,0,1,0,0
26,Balmain,Wynyard Railway Station,2.4642877096328677,-33.8583992,151.1807353,0,0,0,1,0
27,Balmain East,Wynyard Railway Station,1.5822726490301933,-33.8571789,151.192354,1,0,0,0,0
28,Bangor,Sutherland Railway Station,2.7696475352691245,-34.0155034,151.0334872,0,0,0,1,0
29,Banksia,Banksia Railway Station,0.05599066812497227,-33.9448646,151.1402066,1,0,0,0,0
30,Banksmeadow,Mascot Railway Station,3.3903139296191833,-33.9542459,151.21570730000002,0,0,0,1,0
