,Suburb,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Abbotsford, Victoria",-37.80027778,145.0,Lentil As Anything,-37.8027238305522,145.00350748756904,Vegetarian / Vegan Restaurant
1,"Abbotsford, Victoria",-37.80027778,145.0,Abbotsford Convent,-37.802574,145.00441,Cultural Center
2,"Abbotsford, Victoria",-37.80027778,145.0,Retreat Hotel,-37.801125904656374,144.99754783144635,Pub
3,"Abbotsford, Victoria",-37.80027778,145.0,Slow Food Market,-37.80248100934006,145.00359716296393,Farmers Market
4,"Abbotsford, Victoria",-37.80027778,145.0,The Farm Cafe,-37.802939904473746,145.005706455663,Café
5,"Abbotsford, Victoria",-37.80027778,145.0,Collingwood Children's Farm,-37.80295282621274,145.00575798972065,Farm
6,"Abbotsford, Victoria",-37.80027778,145.0,Chomp Cafe,-37.800048606986415,144.99995339941844,Café
7,"Abbotsford, Victoria",-37.80027778,145.0,Rita's Cafeteria,-37.79997766854839,144.99404691029972,Pizza Place
8,"Abbotsford, Victoria",-37.80027778,145.0,Abbotsford Convent Gardens,-37.802454334143725,145.00351048575794,Garden
9,"Abbotsford, Victoria",-37.80027778,145.0,Dr. Morse,-37.799931669315626,144.99411281367225,Gastropub
10,"Abbotsford, Victoria",-37.80027778,145.0,Lulie St Tavern,-37.79991376418327,144.9948175178812,Dive Bar
11,"Abbotsford, Victoria",-37.80027778,145.0,Dights Falls,-37.79652700914428,145.0010658104419,Scenic Lookout
12,"Abbotsford, Victoria",-37.80027778,145.0,VIT Cafe & Bar,-37.80083076270073,145.00217446826778,Café
13,"Abbotsford, Victoria",-37.80027778,145.0,Admiral Cheng-Ho,-37.80035069975055,144.99747359300164,Coffee Shop
14,"Abbotsford, Victoria",-37.80027778,145.0,Yarra Hotel,-37.80036079596083,144.99631053689677,Pub
15,"Abbotsford, Victoria",-37.80027778,145.0,Bomb Cafe Abbotsford,-37.79993758650284,144.9937756575406,Café
16,"Abbotsford, Victoria",-37.80027778,145.0,The Park Hotel,-37.80276887805599,144.99702948586096,Pub
17,"Abbotsford, Victoria",-37.80027778,145.0,Kappaya Japanese Soul Food,-37.802589787275394,145.00358240632988,Japanese Restaurant
18,"Abbotsford, Victoria",-37.80027778,145.0,The Kitchen at Weylandts,-37.805311130490146,144.9973451916796,Café
19,"Abbotsford, Victoria",-37.80027778,145.0,The Lactic Factory,-37.80125102885309,144.99340572284203,Rock Climbing Spot
20,"Abbotsford, Victoria",-37.80027778,145.0,Mavis the Grocer,-37.80311,144.99702,Convenience Store
21,"Abbotsford, Victoria",-37.80027778,145.0,Uncle Drew Cafe Larder,-37.79414735396717,144.99817840832551,Café
22,"Abbotsford, Victoria",-37.80027778,145.0,Mesa Greek Cuisine,-37.80022,144.99516,Greek Restaurant
23,"Abbotsford, Victoria",-37.80027778,145.0,Victoria Park Oval,-37.79839089938072,144.99663591384888,Football Stadium
24,"Abbotsford, Victoria",-37.80027778,145.0,Studley Park Boathouse,-37.80112590339737,145.0078517569792,Café
25,"Abbotsford, Victoria",-37.80027778,145.0,Abbotsford IGA,-37.80011425487535,144.99568432228838,Grocery Store
26,"Abbotsford, Victoria",-37.80027778,145.0,Salvos Store,-37.80598,144.99826,Thrift / Vintage Store
27,"Abbotsford, Victoria",-37.80027778,145.0,Collingwood Farmers market at Childrens farm,-37.802957677635405,145.00546694949878,Farmers Market
28,"Abbotsford, Victoria",-37.80027778,145.0,Victoria Park Station,-37.799125897744695,144.99444166839194,Train Station
29,"Abbotsford, Victoria",-37.80027778,145.0,Cam's,-37.802439,145.003037,Café
30,"Abbotsford, Victoria",-37.80027778,145.0,Bodriggy Brewery Co.,-37.800093,144.994416,Brewery
31,"Abbotsford, Victoria",-37.80027778,145.0,Johnston St Bus Stop,-37.79989587396948,144.99362492868542,Bus Stop
32,"Abbotsford, Victoria",-37.80027778,145.0,Beacon Lighting,-37.79865,144.99359,Furniture / Home Store
33,"Abbotsford, Victoria",-37.80027778,145.0,Gahans Reserve,-37.802931567757966,144.9937568606955,Park
34,"Abbotsford, Victoria",-37.80027778,145.0,Springy boat at Gahans Reserve,-37.8030044,144.99375455,Harbor / Marina
35,"Abbotsford, Victoria",-37.80027778,145.0,Bus Stop 931,-37.80031778708823,144.9927171489903,Bus Stop
36,"Abbotsford, Victoria",-37.80027778,145.0,"Bus Stop 1132, Hoddle St",-37.797083,144.993572,Bus Stop
37,"Abbotsford, Victoria",-37.80027778,145.0,Boathouse Cafe,-37.80121200273167,145.00775369552198,Café
38,"Aberfeldie, Victoria",-37.75111111,144.9,North & Eight,-37.75552,144.90212,Café
39,"Aberfeldie, Victoria",-37.75111111,144.9,Boundy's SUPA IGA Buckley Street,-37.75490412734722,144.89713892847485,Grocery Store
40,"Aberfeldie, Victoria",-37.75111111,144.9,Tony's pies,-37.75538,144.90097,Food & Drink Shop
41,"Aberfeldie, Victoria",-37.75111111,144.9,Tactual,-37.75502,144.89761,Spa
42,"Aberfeldie, Victoria",-37.75111111,144.9,Essendon Fruit Supply,-37.755325,144.901972,Coffee Shop
43,"Aintree, Victoria",-37.71666667,144.66666669999998,"Carlisle Homes - Woodlea DV2 Estate, Aintree",-37.71336228567622,144.67238903045654,Furniture / Home Store
44,"Aintree, Victoria",-37.71666667,144.66666669999998,Woodlea Playground,-37.71885341524939,144.65844154357907,Playground
45,"Airport West, Victoria",-37.71722222,144.86777780000003,Busy Beaver Airport Parking,-37.71433256537955,144.86573391769903,Rental Car Location
46,"Airport West, Victoria",-37.71722222,144.86777780000003,Fresh Fruit World,-37.7124,144.86255,Farmers Market
