,Suburb,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Abbotsbury,-33.8692846,150.8667029,Calmsley Hill City Farm,-33.86884770137987,150.85880756378174,Farm
1,Abbotsbury,-33.8692846,150.8667029,Abbotsbury Shops,-33.86955441610464,150.8652944091134,Convenience Store
2,Abbotsbury,-33.8692846,150.8667029,Stockdale Reserve,-33.871098,150.86806,Park
3,Abbotsbury,-33.8692846,150.8667029,817 bus stop,-33.869773,150.870122,Bus Station
4,Abbotsford,-33.8505529,151.129759,The Cove Dining Co,-33.85093349750487,151.12901507835977,Café
5,Abbotsford,-33.8505529,151.129759,The Cove Dining Co,-33.85095,151.12911,Café
6,Abbotsford,-33.8505529,151.129759,"Greenwest Pools, Spas & Landscapes",-33.8506,151.12760520000006,Construction & Landscaping
7,Abbotsford,-33.8505529,151.129759,Sistina Ristorante & Pizzeria,-33.848149427380505,151.12830734541558,Pizza Place
8,Abbotsford,-33.8505529,151.129759,Lock Stock And Bottle,-33.84786,151.12797,Wine Shop
9,Abbotsford,-33.8505529,151.129759,Cinnamon Thai Cuisine,-33.84769675,151.128288,Thai Restaurant
10,Abbotsford,-33.8505529,151.129759,Henry Lawson Park,-33.85034998485688,151.12589532464892,Park
11,Agnes Banks,-33.6145082,150.71144819999998,Yarramundi Reserve,-33.613376662598654,150.69837762707482,Nature Preserve
12,Agnes Banks,-33.6145082,150.71144819999998,D & V Turf Supplies Pty Ltd,-33.62319623534053,150.70257425308228,Other Repair Shop
13,Agnes Banks,-33.6145082,150.71144819999998,Riverview Produce (Farm),-33.60080884445593,150.70992205913512,Farm
14,Agnes Banks,-33.6145082,150.71144819999998,Navua Reserve,-33.608786,150.69602,Park
15,Airds,-34.09,150.8261111,BP,-34.08592108,150.82871414,Gas Station
16,Alexandria,-33.9091568,151.1921281,The Grounds of Alexandria,-33.91077412580883,151.194405534518,Café
17,Alexandria,-33.9091568,151.1921281,The Potting Shed at The Grounds,-33.91109417652144,151.1943062077886,Bar
18,Alexandria,-33.9091568,151.1921281,The Grounds Markets,-33.911844,151.194729,Flea Market
19,Alexandria,-33.9091568,151.1921281,Alexandria Basketball Stadium,-33.90835836037352,151.19557794378534,Basketball Court
20,Alexandria,-33.9091568,151.1921281,The Grounds Coffee Roastery,-33.91073344478825,151.19429426643546,Australian Restaurant
21,Alexandria,-33.9091568,151.1921281,COOH Cafe & Roaster,-33.91047594760952,151.19565963542615,Café
22,Alexandria,-33.9091568,151.1921281,Crave,-33.906773216074434,151.19247273005746,Café
23,Alfords Point,-33.9839091,151.0241615,McDonald's,-33.98238529092818,151.028643474928,Fast Food Restaurant
24,Alfords Point,-33.9839091,151.0241615,Georges River National Park,-33.9785809722371,151.0176157951355,National Park
25,Allambie Heights,-33.770506700000006,151.249675,IGA Allambie Heights,-33.76553257260216,151.25029168996923,Grocery Store
26,Allambie Heights,-33.770506700000006,151.249675,Mr Grigors,-33.766243,151.25055,Café
27,Allambie Heights,-33.770506700000006,151.249675,Allambie Heights Shops,-33.765989,151.250752,Café
28,Allambie Heights,-33.770506700000006,151.249675,Liquorland,-33.76571482238181,151.25068053372118,Liquor Store
29,Allambie Heights,-33.770506700000006,151.249675,Bakers Delight,-33.765515,151.250257,Bakery
30,Allambie Heights,-33.770506700000006,151.249675,Allambie Oval,-33.76516979779701,151.24967284389558,Park
31,Allawah,-33.969629299999994,151.11428469999998,Allawah Hotel,-33.97000054549864,151.1141392420896,Pub
32,Allawah,-33.969629299999994,151.11428469999998,Posch Thai,-33.97031,151.11523,Thai Restaurant
