Station,Latitude,Longitude
Southern Cross,-37.818333333333335,144.9525
Aircraft,-37.86666666666667,144.76083333333332
Alamein,-37.86833333333333,145.07972222222222
Albion,-37.77722222222222,144.82444444444445
Alphington,-37.77833333333333,145.0313888888889
Altona,-37.867222222222225,144.82999999999998
Anstey,-37.76111111111111,144.96055555555554
Armadale,-37.85638888888889,145.01916666666668
Ascot Vale,-37.775277777777774,144.92194444444445
Ashburton,-37.86194444444445,145.08138888888888
Aspendale,-38.02722222222222,145.10194444444443
Auburn,-37.822500000000005,145.04611111111112
Balaclava,-37.86944444444445,144.9933333333333
Batman,-37.73361111111111,144.96277777777777
Baxter,-38.19416666666666,145.16055555555556
Bayswater,-37.84166666666667,145.26805555555558
Beaconsfield,-38.05083333333333,145.3661111111111
Belgrave,-37.909166666666664,145.3552777777778
Bell,-37.745555555555555,145.00027777777777
Bentleigh,-37.9175,145.03694444444443
Berwick,-38.03972222222222,145.345
Bittern,-38.33722222222222,145.17805555555555
Blackburn,-37.82,145.15
Bonbeach,,
Boronia,-37.86055555555556,145.28444444444443
Box Hill,-37.81916666666667,145.1213888888889
Brighton Beach,-37.92638888888889,144.98916666666665
Broadmeadows,-37.68277777777777,144.91972222222222
Brunswick,-37.76777777777777,144.9597222222222
Burnley,-37.8275,145.00666666666666
Burwood,-37.85166666666667,145.08055555555555
Camberwell,-37.82638888888889,145.05861111111113
Canterbury,-37.824444444444445,145.08138888888888
Cardinia Road,-38.071111111111115,145.4375
Carnegie,-37.88638888888889,145.05861111111113
Carrum,-38.075,145.12222222222223
Caulfield,-37.87722222222222,145.04222222222222
Chatham,-37.82416666666667,145.08861111111113
Chelsea,-38.051944444444445,145.11583333333334
Cheltenham,-37.966944444444444,145.05472222222224
Clayton,-37.92444444444444,145.12
Clifton Hill,-37.78861111111111,144.99527777777777
Coburg,-37.742222222222225,144.9633333333333
Collingwood,-37.80444444444444,144.9936111111111
Coolaroo,-37.66,144.9261111111111
Craigieburn,-37.60277777777778,144.94305555555556
Cranbourne,-38.1,145.28111111111113
Crib Point,-38.36611111111111,145.20416666666665
Croxton,-37.76416666666667,144.99666666666664
Croydon,-37.79527777777778,145.28055555555557
Dandenong,-37.99,145.2097222222222
Darebin,-37.775,145.03861111111112
Darling,-37.86888888888889,145.0627777777778
Dennis,-37.77916666666667,145.00833333333333
Diamond Creek,-37.67333333333333,145.15861111111113
Diggers Rest,-37.62694444444445,144.72
Eaglemont,-37.763888888888886,145.0538888888889
East Camberwell,-37.825833333333335,145.06833333333333
East Malvern,-37.87694444444445,145.06944444444443
East Richmond,-37.82638888888889,144.99638888888887
Edithvale,-38.03805555555555,145.10861111111112
Elsternwick,-37.88472222222222,145.00083333333333
Eltham,-37.71388888888889,145.14777777777778
Epping,-37.65277777777778,145.02861111111113
Essendon,-37.75611111111111,144.91611111111112
Fairfield,-37.77916666666667,145.01694444444445
Fawkner,-37.71472222222223,144.96055555555554
Ferntree Gully,-37.88166666666667,145.29527777777778
Flagstaff,-37.81194444444444,144.9561111111111
Flemington Bridge,-37.788333333333334,144.93944444444446
Flemington Racecourse,-37.78777777777778,144.90666666666667
Flinders Street,-37.81805555555556,144.96694444444444
Footscray,-37.80166666666666,144.9025
Frankston,-38.143055555555556,145.12611111111113
Gardenvale,-37.89666666666667,145.00416666666666
Gardiner,-37.85333333333333,145.05166666666668
Ginifer,-37.75805555555556,144.81
Glen Iris,-37.85916666666667,145.05805555555557
Glen Waverley,-37.879444444444445,145.1625
Glenbervie,-37.74722222222222,144.92083333333332
Glenferrie,-37.82166666666667,145.03666666666666
Glenhuntly,-37.89,145.04222222222222
Glenroy,-37.70472222222222,144.91722222222222
Gowrie,-37.700833333333335,144.95888888888888
Greensborough,-37.70388888888889,145.10805555555555
Hallam,-38.01777777777777,145.27027777777778
Hampton,-37.93833333333333,145.0013888888889
Hartwell,-37.844166666666666,145.07555555555555
Hastings,-38.30555555555555,145.1861111111111
Hawksburn,-37.844722222222224,145.00222222222223
Hawkstowe,,
Hawthorn,-37.82194444444445,145.0227777777778
Heatherdale,-37.81888888888889,145.21277777777777
Heathmont,-37.82833333333333,145.24444444444444
Heidelberg,-37.757222222222225,145.06083333333333
Heyington,-37.834722222222226,145.0227777777778
Highett,-37.948611111111106,145.04166666666666
Holmesglen,-37.87416666666667,145.0913888888889
Hoppers Crossing,-37.88333333333333,144.7011111111111
Hughesdale,-37.89416666666666,145.07638888888889
Huntingdale,-37.91111111111111,145.1025
Hurstbridge,-37.63916666666667,145.19222222222223
Ivanhoe,-37.76888888888889,145.04555555555555
Jacana,-37.69499999999999,144.91583333333335
Jewell,-37.775,144.9586111111111
Jolimont,-37.81638888888889,144.98277777777778
Jordanville,-37.87361111111111,145.11194444444445
Kananook,-38.12166666666667,145.13527777777776
Keilor Plains,-37.72944444444445,144.7938888888889
Kensington,-37.79388888888889,144.9308333333333
Keon Park,-37.69472222222222,145.01166666666666
Kooyong,-37.84,145.03333333333333
Laburnum,-37.82083333333334,145.14083333333332
Lalor,-37.66583333333333,145.01722222222224
Laverton,-37.86388888888889,144.77222222222224
Leawarra,-38.151944444444446,145.13944444444445
Lilydale,-37.75555555555555,145.3475
Lynbrook,-38.05777777777777,145.24944444444444
Macaulay,-37.79472222222222,144.9361111111111
Macleod,-37.726111111111116,145.06916666666666
Malvern,-37.86638888888889,145.0288888888889
McKinnon,-37.91027777777778,145.03833333333333
Melbourne Central,-37.809999999999995,144.96277777777777
Mentone,-37.981944444444444,145.0652777777778
Merinda Park,-38.080000000000005,145.26416666666665
Merlynston,-37.72083333333334,144.96138888888888
Mernda,-37.599444444444444,145.1013888888889
Merri,-37.77777777777778,144.99305555555554
Middle Brighton,-37.915,144.99638888888887
Middle Footscray,-37.802499999999995,144.89138888888888
Middle Gorge,,
Mitcham,-37.81805555555556,145.19194444444446
Mont Albert,-37.81944444444445,145.10555555555555
Montmorency,-37.71527777777778,145.1213888888889
Moonee Ponds,-37.76583333333333,144.91944444444442
Moorabbin,-37.93416666666666,145.03666666666666
Mooroolbark,-37.78472222222222,145.3125
Mordialloc,-38.00666666666667,145.0875
Moreland,-37.754444444444445,144.96194444444444
Morradoo,-38.35388888888889,145.18916666666667
Mount Waverley,-37.875277777777775,145.12833333333333
Murrumbeena,-37.890277777777776,145.06722222222223
Narre Warren,-38.02777777777778,145.3038888888889
Newmarket,-37.78722222222222,144.92888888888888
Newport,-37.8425,144.88333333333333
Noble Park,-37.9675,145.1772222222222
North Brighton,-37.90472222222222,145.0025
North Melbourne,-37.80638888888888,144.94111111111113
North Richmond,-37.81027777777778,144.99249999999998
North Williamstown,-37.85722222222223,144.88888888888889
Northcote,-37.76972222222222,144.9947222222222
Nunawading,-37.82027777777778,145.1772222222222
Oak Park,-37.717777777777776,144.92166666666665
Oakleigh,-37.900555555555556,145.08833333333334
Officer,-38.066111111111105,145.41111111111113
Ormond,-37.90333333333333,145.03944444444446
Pakenham,-38.08027777777778,145.48583333333332
Parkdale,-37.99305555555556,145.07611111111112
Parliament,-37.811388888888885,144.97305555555556
Pascoe Vale,-37.73027777777778,144.9283333333333
